answer_body,truth,answer_id
"['Note that Object.keys and other ECMAScript 5 methods are supported by Firefox 4, Chrome 6, Safari 5, IE 9 and above.', 'For example:', 'ECMAScript 5 compatibility table: http://kangax.github.com/es5-compat-table/', 'Description of new methods: http://markcaudill.com/index.php/2009/04/javascript-new-features-ecma5/']",[0],3821585
"[""From Hacker's Delight, p. 66, Figure 5-2"", 'Executes in ~20-ish instructions (arch dependent), no branching.', ""Hacker's Delight is delightful!"", 'Highly recommended.']",[],109117
"['You cannot display an application window/dialog through a Context that is not an Activity.', 'Try passing a valid activity reference']",[0],2635366
"['If your ultimate aim is to get debugging messages to the console, you can use qDebug().', 'You can use like,', '<code>qDebug()&lt;&lt;string;</code> which will print the contents to the <em>console</em>.', 'This way is better than converting it into <code>std::string</code> just for the sake of debugging messages.']",[0],4214596
"['To be clear about what is going on here:', '<li>The recommended way to set the temporary directory location is to set the System property called ""java.io.tmpdir"", e.g.', 'by giving the option <code>-Djava.io.tmpdir=/mytempdir</code> to the <code>java</code> command.', 'The property can also be changed from within a program by calling <code>System.setProperty(""java.io.tmpdir"", ""/mytempdir)</code> ... modulo sandbox security issues.', '<li>If you don\'t explicitly set the ""java.io.tmpdir"" property on startup, the JVM initializes it to a <em>platform specific</em> default value.', 'For Windows, the default is obtained by a call to a Win32 API method.', 'For Linux / Solaris the default is apparently hard-wired.', 'For other JVMs it could be something else.', 'Empirically, the ""TMP"" environment variable works on Windows (with current JVMs), but not on other platforms.', 'If you care about portability you should explicitly set the system property.']","[1, 2, 4, 9]",1925501
['IntelliJ has intellisense and refactoring support from code into jspx documents.'],[0],239754
"['In addition to probably throwing something derived from std::exception you should throw anonymous temporaries and catch by reference:', 'You should throw anonymous', 'temporaries so the compiler deals', 'with the object lifetime of whatever', ""you're throwing - if you throw"", 'something new-ed off the heap,', 'someone else needs to free the', 'thing.', 'You should catch references to', 'prevent object slicing', '.', 'See Meyer\'s ""Effective C++ - 3rd edition"" for details or visit https://www.securecoding.cert.org/.../ERR02-A.+Throw+anonymous+temporaries+and+catch+by+reference']",[0],135184
"[""'ShallowCopy' points to the same location in memory as 'Source' does."", ""'DeepCopy' points to a different location in memory, but the contents are the same.""]","[0,1]",184754
"['EDIT: Quick note, this is almost certainly confusing Big O notation (which is an upper bound) with Theta notation (which is both an upper and lower bound).', 'In my experience this is actually typical of discussions in non-academic settings.', 'Apologies for any confusion caused.', 'In one sentence: As the size of your job goes up, how much longer does it take to complete it?', 'Obviously that\'s only using ""size"" as the input and ""time taken"" as the output &mdash; the same idea applies if you want to talk about memory usage etc.', ""Here's an example where we have N T-shirts which we want to dry."", ""We'll <em>assume</em> it's incredibly quick to get them in the drying position (i.e."", 'the human interaction is negligible).', ""That's not the case in real life, of course..."", '<li>Using a washing line outside: assuming you have an infinitely large back yard, washing dries in O(1) time.', ""However much you have of it, it'll get the same sun and fresh air, so the size doesn't affect the drying time."", ""<li>Using a tumble dryer: you put 10 shirts in each load, and then they're done an hour later."", ""(Ignore the actual numbers here &mdash; they're irrelevant.)"", 'So drying 50 shirts takes <em>about</em> 5 times as long as drying 10 shirts.', '<li>Putting everything in an airing cupboard: If we put everything in one big pile and just let general warmth do it, it will take a long time for the middle shirts to get dry.', ""I wouldn't like to guess at the detail, but I suspect this is at least O(N^2) &mdash; as you increase the wash load, the drying time increases faster."", 'One important aspect of ""big O"" notation is that it <em>doesn\'t</em> say which algorithm will be faster for a given size.', 'Take a hashtable (string key, integer value)  vs an array of pairs (string, integer).', 'Is it faster to find a key in the hashtable or an element in the array, based on a string?', '(i.e.', 'for the array, ""find the first element where the string part matches the given key."")', 'Hashtables are generally amortised (~= ""on average"") O(1) &mdash; once they\'re set up, it should take about the same time to find an entry in a 100 entry table as in a 1,000,000 entry table.', 'Finding an element in an array (based on content rather than index) is linear, i.e.', ""O(N) &mdash; on average, you're going to have to look at half the entries."", 'Does this make a hashtable faster than an array for lookups?', 'Not necessarily.', ""If you've got a very small collection of entries, an array may well be faster &mdash; you may be able to check all the strings in the time that it takes to just calculate the hashcode of the one you're looking at."", 'As the data set grows larger, however, the hashtable will eventually beat the array.']","[3, 16]",487271
"['You can create an inline view or a temporary table, fill it with you values and issue this:', 'BIGBLOCK', ""This, however, can return you multiple rows for a <code>fiberbox</code> that is something like <code>'1740, 1938'</code>, so this query can fit you better:"", 'BIGBLOCK']","[0, 1, 2, 3]",1127100
"['In OO world, the two are commonly used to mean the same thing.', 'From a pure Math and CS perspective, a function will always return the same result when called with the same arguments ( f(x,y) = (x + y) ).', 'A method on the other hand, is typically associated with an instance of a class.', 'Again though, most modern OO languages no longer use the term ""function"" for the most part.', 'Many static methods can be quite like functions, as they typically have no state (not always true).']","[0, 1, 2]",155646
"['Warning you get is done by compiler, not by library (or utility method).', 'Simplest way using Jackson directly would be:', 'BIGBLOCK', 'Utility method you call probably just does something similar to this.']","[1, 2]",2525729
"[""I think @Erlend's use of <code>HTMLDocument</code> is the best way to go."", 'However, I have also had good luck using this simple library:', 'SgmlReader']","[0,1]",56276
"[""Your <code>persistence.xml</code> is not valid and the <code>EntityManagerFactory</code> can't get created."", 'It should be:', ""(Note how the <code>&lt;property&gt;</code> elements are closed, they shouldn't be nested)"", ""Update: I went through the tutorial and you will also have to change the <code>Id</code> generation strategy when using MySQL (as MySQL doesn't support sequences)."", 'I suggest using the <code>AUTO</code> strategy (defaults to IDENTITY with MySQL).', 'To do so, remove the <code>SequenceGenerator</code> annotation and change the code like this:', 'This should help.', 'PS: you should also provide a <code>log4j.properties</code> as suggested.']","[0,1]",3739532
"['I prefer ""timelimit"", which has a package at least in debian.', 'http://devel.ringlet.net/sysutils/timelimit/', 'It is a bit nicer than the coreutils ""timeout"" because it prints something when killing the process, and it also sends SIGKILL after some time by default.']","[0, 2]",3486938
"['I have had something like this before, and what we found was that the collation between 2 tables were different.', 'Check that these are the same.']",[0],1607627
"['Mod just means you take the remainder after performing the division.', 'Since 4 goes into 2 zero times, you end up with a remainder of 2.']",[1],1351931
['2 / 4 = 0 with a remainder of 2'],[0],1351932
"['You can run the following query and find the duplicates with <code>max(id)</code> and delete those rows.', ""But you'll have to run this query a few times.""]",[0],2112645
"['Also be aware that deleting a base class pointer when there is no virtual destructor will result in <strong><em>undefined behavior</em></strong>.', 'Something that I learned just recently:', 'How should overriding delete in C++ behave?', ""I've been using C++ for years and I still manage to hang myself.""]",[0],463774
"['You could use LINQ... it eliminates the need to check string length.', ""Admittedly maybe not the most efficient, but it's fun."", 'BIGBLOCK', 'or', 'BIGBLOCK']","[2, 3, 4]",2776741
"['Here:', 'That is a basic tree structure that can be used for <code>String</code> or any other object.', 'It is fairly easy to implement simple trees to do what you need.', 'All you need to add are methods for add to, removing from, traversing, and constructors.', 'The <code>Node</code> is the basic building block of the <code>Tree</code>.']","[2, 3]",3522481
"['Because Java is a garbage collected language you cannot predict when (or even if) an object will be destroyed.', 'Hence there is no direct equivalent of a destructor.', 'There is an inherited method called <code>finalize</code>, but this is called entirely at the discretion of the garbage collector.', 'So for classes that need to explicitly tidy up, the convention is to define a close method and use finalize only for sanity checking (i.e.', 'if close has not been called do it now and log an error).', 'There was a question that spawned in-depth discussion of finalize recently, so that should provide more depth if required...']","[0,1]",171957
